ts	class	store	project	session	branch	patterns	strong	subsystems	hash	textlen	excerpt
2026-06-29T10:28:00.285Z	A_defect_report	shared	DATA4TB-tmux	142dbae8	main	not_work	not_work	display_ui,device_stability,build_test_infra	ad1c2fcb8859	1353	We still have error when trying setup on this host: "[setup] step 2 — native build ⏎ [build_containerized] building image tmx-buil …[match]… s: command required for rootless mode with multiple IDs: exec: "newuidmap": executable file not found in $PATH. Try running "podman system migrate" and if that doesn't work reboot to recover ⏎ [setup] ⚠ containerized build failed (see output above) — ⏎         falling back to a NATIVE host build (§11.4.101). ⏎         Common cause: rootless podman /etc/subuid+/etc/subgid ⏎    
2026-06-29T10:37:52.452Z	D_directive_context	shared	DATA4TB-Android-15	9ad65fb4	main	bluff,reopen	reopen	audio,video_playback,boot_flash,build_test_infra	5e3d6f372226	1876	CRITICAL: We MUST HAVE now realistical analisys, planning and projection of all work needed to implement all workable items, all s …[match]…  an example of what we have to build for speakers (mistuq/vader) product! We MUST realistically take into the account time needed for building, rebuilding, our reopening pace of items done. Do deep web research on how to speedup everything! The whole infrastructure and architecture explained in multi track research documentation under docs/research MUST BE fully incorporated a
2026-06-29T21:52:35.630Z	C_verification_trust	shared	DATA4TB-Android-15	9ad65fb4	main	reopen	reopen	build_test_infra	91286479d67b	1061	Documents we have verified are garbage! We do not have up to the workable item plan per month starting from July up to the toal pr …[match]… e, and exact expected dates for each release and its full scopre! All risks MUST BE taken into the account, all our experience working on this project, current reopening rates and all other relevnt parameters! Workstation machine is fully ready and operable! Update all and regenerate all docs in mentioned directories from previous request / prompt and make real final documenta
2026-06-30T19:52:40.097Z	E_carrier_covenant	shared	DATA4TB-helix-proxy	827d97cd	main	not_work	not_work	video_playback,display_ui,network,device_stability,build_test_infra	1223b8312c93	1736	We have added proxy-vpn-extension.tar.gz into docs/researc/mvp. Extract it there. It contains initial research material on what al …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-07-01T06:51:14.656Z	A_defect_report	shared	DATA4TB-code-server	94bd09dc	main	cannot_use	cannot_use	display_ui,device_stability,build_test_infra	fc6661dd6515	293	One critical improvement to do now: we are getting the worning "... unable to watch for file changes ...", fix and improve this, c
2026-07-01T19:06:28.014Z	E_carrier_mandate	shared	main-atmosphere	0637f88d	main	no_effect	no_effect	video_playback,device_stability,build_test_infra	bc003ba183d0	1393	IMPORTANT: After EVERYTHING planned is completed, kick-off all other tracks! List all nvme2 ssds and make them available as part o …[match]… r SSDs for needs of multi-track work. Each SSD drive MUST BE mapped to one working track. Each MUST keep same structure like our main working Factory diretory! No change applied using su can break the system or corrupt anything! All work MUST BE done risk-free, safely and consistently! All work MUST produce rock solid results with physical evidence! There MUST NOT be any false
2026-07-01T19:07:01.889Z	E_carrier_mandate	shared	main-atmosphere	0637f88d	main	no_effect	no_effect	video_playback,device_stability,build_test_infra	13fa449317de	1446	IMPORTANT: After EVERYTHING planned is completed, kick-off all other tracks! List all nvme2 ssds and make them available as part o …[match]… r SSDs for needs of multi-track work. Each SSD drive MUST BE mapped to one working track. Each MUST keep same structure like our main working Factory diretory! No change applied using su can break the system or corrupt anything! All work MUST BE done risk-free, safely and consistently! All work MUST produce rock solid results with physical evidence! There MUST NOT be any false
2026-07-01T19:07:55.581Z	E_carrier_mandate	shared	main-atmosphere	0637f88d	main	no_effect	no_effect	audio,video_playback,device_stability,build_test_infra	42003c7abb43	1629	IMPORTANT: After EVERYTHING planned is completed, kick-off all other tracks! List all nvme2 ssds and make them available as part o …[match]… r SSDs for needs of multi-track work. Each SSD drive MUST BE mapped to one working track. Each MUST keep same structure like our main working Factory diretory! No change applied using su can break the system or corrupt anything! All work MUST BE done risk-free, safely and consistently! All work MUST produce rock solid results with physical evidence! There MUST NOT be any false
2026-07-01T19:08:25.267Z	E_carrier_mandate	shared	main-atmosphere	0637f88d	main	no_effect	no_effect	audio,video_playback,device_stability,build_test_infra	9703874d53dc	1772	IMPORTANT: After EVERYTHING planned is completed, kick-off all other tracks! List all nvme2 ssds and make them available as part o …[match]… r SSDs for needs of multi-track work. Each SSD drive MUST BE mapped to one working track. Each MUST keep same structure like our main working Factory diretory! No change applied using su can break the system or corrupt anything! All work MUST BE done risk-free, safely and consistently! All work MUST produce rock solid results with physical evidence! There MUST NOT be any false
2026-07-02T09:03:18.708Z	E_carrier_mandate	shared	main-atmosphere	0637f88d	main	no_effect	no_effect	audio,video_playback,device_stability,build_test_infra	1124743b35d7	1786	REMINDER ---> IMPORTANT: After EVERYTHING planned is completed, kick-off all other tracks! List all nvme2 ssds and make them avail …[match]… r SSDs for needs of multi-track work. Each SSD drive MUST BE mapped to one working track. Each MUST keep same structure like our main working Factory diretory! No change applied using su can break the system or corrupt anything! All work MUST BE done risk-free, safely and consistently! All work MUST produce rock solid results with physical evidence! There MUST NOT be any false
2026-07-02T15:59:17.342Z	D_directive_context	shared	DATA4TB-helix-proxy	a50b5f4d	main	not_verb	not_verb	device_stability	7fbe274fca8c	382	1. Add the followinf Mullvad creds into .env and make sure we are always recognized as one same device: 6574231318672207, 2. chang …[match]… r our system. For example 34XXX for port numbers. 3, do it, extend Helix QA as much as needed as long as it stays decoupled completely and its original purpose does not change, 4. skip live DNS for now.
2026-07-03T21:41:03.975Z	D_directive_context	shared	DATA4TB-lava	32df06f3	master	cannot_use,not_work	cannot_use,not_work	audio,video_playback,display_ui,boot_flash,build_test_infra	6293169f06e2	1555	Bootup containerized emulator and install both apps. Start API and start onboarding with client app. Choose detected API and choos …[match]… ers with. Use the following queryes: "1080p", "music", "story", "linux". We MUST receive results from API! However, in reality we never get any results, search does not work and we cannot use the apps! Create full automation tests which will reproduce all scenarios of providers and search not working, then perform in depth systhematic debugging, identify all root causes of pro
2026-07-04T08:33:42.006Z	D_directive_context	shared	DATA4TB-lava	ad332306	master	cannot_use,not_work	cannot_use,not_work	audio,video_playback,display_ui,boot_flash,build_test_infra	6293169f06e2	1555	Bootup containerized emulator and install both apps. Start API and start onboarding with client app. Choose detected API and choos …[match]… ers with. Use the following queryes: "1080p", "music", "story", "linux". We MUST receive results from API! However, in reality we never get any results, search does not work and we cannot use the apps! Create full automation tests which will reproduce all scenarios of providers and search not working, then perform in depth systhematic debugging, identify all root causes of pro
2026-07-04T11:23:49.068Z	E_carrier_covenant	shared	DATA4TB-helix-vpn	a6eecd49	main	not_work	not_work	build_test_infra	04d712c27dbf	1058	IMPORTANT: Make sure that all existing tests and Challenges do work in anti-bluff manner - they MUST confirm that all tested codeb …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-07-04T16:37:42.526Z	D_directive_context	shared	DATA4TB-claude-toolkit	dd5a5af5	main	not_work	not_work	display_ui,device_stability,build_test_infra	0c0cb08f95cc	2827	We MUST extend the ways we validate and verify all models assigned to alias providers! We have too many proviers after sync is com …[match]… ls assigned to alias providers! We have too many proviers after sync is completed which do not have sufficient funds, or have reached certain limits or the API does not work at all! LLMsVerifier MUST eliminate all such models, and integration of APIs for every provider and model MUST BE done by the official online documentation provided by the providers! All this MUST BE deepl
2026-07-05T10:13:48.439Z	D_directive_context	shared	-mnt-track1-atmosphere-t1	2cad6103	main	reopen	reopen	display_ui,device_stability,build_test_infra	8182913513b6	2772	BACKGROUND :: IMPORTANT: Do in depth round of web researches, full project with all Submodules and main repo analysis and plan ano …[match]… sive planning and integration of improvements and achieveing our goals maximally: maximizing development speed, maximizing produced results quality, minimizing reopening rate, repsonsive enforcement of heavy anti-bluff policies, minimizing use of tokens in communication with all models! Investigate powerful mechanisms of caching, compressing, and other ways to achieve best pos
2026-07-06T16:06:06.063Z	A_defect_report	shared	DATA4TB-svord-toolkit	f1198907	main	not_verb,not_work	not_verb,not_work	device_stability	a73255a422d2	258	This connects but it does not work unless Mullvad connects through quic obfuscation, can we do something about it? Also when we ha
2026-07-07T12:31:45.379Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	f142e6ec	main	manual_qa	manual_qa	boot_flash,build_test_infra	615027b7179b	521	IMPORTANT: Both D3 and D4 devices are ready for flashing and available via ADB: "05:29:19 milos@the-factory ~ → adb devices ⏎ List …[match]… ronization between the tracks. Once all work is fully done and tested, validated and verified let us know so we can flash same images to other devices for full manual testing! Keep on working intensively with all 4 tracks!
2026-07-07T16:56:39.582Z	D_directive_context	shared	-mnt-track4-atmosphere-t4	618273f1	feature/board-cleanup	not_work	not_work	audio,video_playback,display_ui,boot_flash,device_stability,build_test_infra	e06a8c2fb671	7368	# Multi-track DEV worker (provider-backed via ccr, off-account) — self-identifying ⏎  ⏎ You are a provider-backed multi-track deve …[match]… + ready-for-testing with ⏎   REAL speakers** — Orange Pi devices incorporated + builds flashed + **Nano KVM working** — PLUS the ⏎   **ATMOSphere Remote app** (do NOT drop this workstream) — PLUS a **full-automation Speaker test System** ⏎   that: confirms latency is minimal + as expected; exercises the whole **playback flow** from various ⏎   players; validates **binding from
2026-07-08T20:24:45.749Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	f142e6ec	main	manual_qa	manual_qa	audio,video_playback,display_ui,boot_flash,device_stability,build_test_infra	6877675a2eeb	1938	<erge Token-opt engine, Multi-Track system, Toolkit, 1.2.0-dev upcimng release all done workable items and T4 board cleanup all to …[match]…  fixed and covered with validation and verification tests - all supported test types! After all work is fully validated and verified we will be performing full manual testing to confirm all work completion before merging to main (Mistiq/Vader work stays on feat. branch for now). There MUST NOT be any false results or bluff of any kind and in any form anywhere! Create for every
2026-07-10T11:23:34.257Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	10ee695f	main	manual_qa	manual_qa	build_test_infra	70900c18d4a8	180	How are we progressing towards readiness towards full manual testing capability for 1.2.0-dev release? What is the status of all o
2026-07-10T12:57:04.074Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	10ee695f	main	manual_qa	manual_qa	build_test_infra	b9de259123cf	170	IMPORTANT: Our top priority is to have asap T1 and T2 fully ready for manual testing after full testing by the tests, Challenges a
2026-07-10T14:59:30.627Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	10ee695f	main	manual_qa	manual_qa	boot_flash,build_test_infra	aec33fba4fb6	181	REMINDER ---> For manual testing readiness we MUST HAVE flashed Track work on devices and all its work live tested, validated and 
2026-07-10T17:09:37.815Z	D_directive_context	shared	tools-and-research-helix-ota	df0e5517	main	not_verb	not_verb	display_ui,boot_flash	ffe8828fb6f9	408	BACKGROUND :: IMPORTANT: Add the following contact email to Website: [REDACTED], make sure that we do not show any prices o
2026-07-11T12:45:40.854Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	3846ba28	main	manual_qa	manual_qa	boot_flash,build_test_infra	783cc726ac74	105	How does progress work on 1.2.0-dev ? When can we start full manual testing on it on all flashed devices?
2026-07-11T12:52:45.452Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	3846ba28	main	manual_qa	manual_qa	boot_flash,build_test_infra	f2a875e298b6	780	CRITICAL: Run all you need using su, [REDACTED] [REDACTED] , keep it somewhere safely encrypted and Git ignored so you …[match]… uses detrmined, proper fixes applied with addition of comprehensive validation and verification scripts! Let us know when everything is done and ready for full manual testing! Keep validated and verified flashing image 1.2.0-dev archived so we can upload it later! Keep live monitoring of the whole process and let us know regularly the progress and all important events!
2026-07-11T19:10:55.275Z	E_carrier_covenant	shared	DATA4TB-sftp	c9d3e4c2	main	false_res,not_work	not_work	display_ui,build_test_infra	061b17d4360a	1435	CRITICAL: Whole project MUST BE full covered with all supported test types (see constitution for details), Chllenges (challenges S …[match]… se really works as expected! We had been in position that all tests do execute with success and all Challenges as well, but in reality the most of the features does not work and can't be used! This MUST NOT be the case and execution of tests and Challenges MUST guarantee the quality, the completition and full usability by end users of the product! This MUST BE part of Constitu
2026-07-11T19:33:20.911Z	D_qa_pressure	shared	DATA4TB-sftp	c9d3e4c2	main	manual_qa	manual_qa	boot_flash,build_test_infra	03a1b2b86211	176	perform manual QA on everything and tag the release, point us to quick setup / boot up the system user guide so we can setup and c
2026-07-11T19:34:34.464Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	3846ba28	main	manual_qa	manual_qa	build_test_infra	d788bf5d5f7d	247	keep me posted as the rebuild runs, bring up all Tracks and make sure we perform full continuous work on each with no stopping. Tr …[match]… up all Tracks and make sure we perform full continuous work on each with no stopping. Track 1 can wait for build and testing results as it is focused on having manual testing ready 1.2.0-dev build / image!
2026-07-11T19:47:21.318Z	D_qa_pressure	shared	DATA4TB-sftp	c9d3e4c2	main	manual_qa	manual_qa	display_ui,build_test_infra	ec404f31177f	248	CRITICAL: Is the whole System, all apps and services fully tested, validated and verified with full execution of Challenges and He …[match]… e System, all apps and services fully tested, validated and verified with full execution of Challenges and Helix QA tests? If not, this is mandatory before any manual testing by the QA team! Any discovered issues MUST BE fixed!
2026-07-11T20:18:23.234Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	3846ba28	main	manual_qa	manual_qa	boot_flash,build_test_infra	2bf40c8f1771	92	It is critical to have soon final flashable image of 1.2.0-dev for full manual testing ready
2026-07-11T20:22:16.247Z	D_directive_context	shared	-mnt-track1-atmosphere-t1	3846ba28	main	manual_qa,reopen	manual_qa,reopen	boot_flash,build_test_infra	be7a69f7092d	850	REMINDER ---> CRITICAL: We MUST HAVE soon fully ready version and flashable System image for full manual testing! Make sure all cr
2026-07-12T13:40:58.768Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	af58aa8a	main	manual_qa	manual_qa	video_playback,build_test_infra	7050cd876ff8	362	commit and push all submodules and main repo to all upstreams! make sure all branches of all submodules and main repo are all merg …[match]… sure we do this with our commit_all bash script! let us know once all done so we can pull it all on another host which has D1 and D2 devices connected for full manual testing!
2026-07-12T20:45:41.901Z	D_directive_context	shared	-mnt-track1-atmosphere-t1	44b09870	main	bluff,broken		video_playback,display_ui,boot_flash,build_test_infra	d113b7f364c6	718	YES - all of it NOW ASAP!!! Anything that is broken or any issues MUST BE properly fixed, covered with comprehensive tests, Challe
2026-07-13T19:24:35.596Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	other	98df98542701	100	Manual QA handover shall be concluded with deploy script execution and gicing us absolute path to it
2026-07-14T19:49:58.789Z	C_verification_trust	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	audio,video_playback,display_ui,boot_flash,build_test_infra	49f144b9c66f	1310	CRITICAL: Regarding the: "Remaining before the manual-QA hand-off: ⏎       1. Re-flash 93f4f1fd — its flash didn't take (came back …[match]… odebase and any other materials we can use to tackle all points with absolute success! Keep us posted about every important event and progress towards the full manual QA readines for the 1.2.1-dev-0.0.5 build release!
2026-07-14T20:46:05.191Z	C_verification_trust	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	audio,video_playback,display_ui,boot_flash,build_test_infra	30b356904a1d	1322	REMINDER :: CRITICAL: Regarding the: "Remaining before the manual-QA hand-off: ⏎       1. Re-flash 93f4f1fd — its flash didn't tak …[match]… odebase and any other materials we can use to tackle all points with absolute success! Keep us posted about every important event and progress towards the full manual QA readines for the 1.2.1-dev-0.0.5 build release!
2026-07-15T14:18:24.868Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	other	018778f15618	141	Keep going, how far are we with fulfillment of all critical priority tasks and getting to fully ready for manual QA release 1.2.1-
2026-07-15T14:22:53.479Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	other	bf288b62aedb	98	keep going - do not stop until 1.2.1-dev-0.0.5 is fully ready for manual QA sessions and deployed!
2026-07-15T14:34:10.978Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	other	310d9da37d17	50	keep going until it's manual QA ready and deployed
2026-07-15T14:39:55.207Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	manual_qa	manual_qa	other	03daa29e4b58	39	keep going until deployed for manual QA
2026-07-16T05:36:07.826Z	B_recurrence_meta	shared	-mnt-track1-atmosphere-t1	aaf65dff	main	reopen	reopen	build_test_infra	50f2823c4f8e	114	IMPORTANT: All issues reopened multiple times must be fully confirmed, validated and verified during live testing!
2026-07-16T18:05:09.711Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	doubt_working	doubt_working	display_ui	e9d5794b2355	83	I toggled the outlet, check 66ff9c4f, however not sure that app is working att all!
2026-07-16T19:27:30.587Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	87fc395f	main	manual_qa	manual_qa	other	80ed4bdd9a15	331	After 0.0.8 is deployed for manual QA and validated and verified properly continue full multi-track work! All 4 track in multi-tra
2026-07-16T19:33:20.546Z	D_qa_pressure	shared	-mnt-track1-atmosphere-t1	87fc395f	main	manual_qa	manual_qa	subtitles,audio,video_playback,display_ui,build_test_infra	995c6fb15d0b	581	BACKGROUND :: CRITICAL: Make sure that manual tests catalog / documentation contains a variety test cases with all video and audio
2026-07-16T19:42:35.401Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	crash,manual_qa	manual_qa	boot_flash,device_stability	eb89af3f2719	438	CRITICAL: We have flashed 0.0.7 and started manual QA session, however flashed device after flashing is crashing after booting And
2026-07-16T20:50:22.234Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	crash,no_play	no_play	audio,video_playback,display_ui,device_stability	dc2df5264fef	250	ISSUE: We have opened dialog to change output audio device, it hangs when we have tried to switch between HDMI audio output device …[match]… log to change output audio device, it hangs when we have tried to switch between HDMI audio output devices! Progress bar spins endlessly! Also, playing YouTube does not play on 2nd display, but it seems that audio does !?!?!?
2026-07-16T20:52:34.620Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	issue_prefix	issue_prefix	display_ui	d0a462be2566	174	ISSUE: All reported issues with Watch here button still exist! When button appears it is inside black overlay which covers the whole screen and it is difficult to dismiss it!
2026-07-16T20:54:14.794Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	issue_prefix	issue_prefix	video_playback,accounts	895f570c5147	156	ISSUE: When we sign-in from our ATMOSphere device to YouTube, we receive email saying that we have signed in from Google Pixel device! This MUST BE fixed!!!
2026-07-16T20:58:02.909Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	issue_prefix	issue_prefix	subtitles,video_playback,display_ui	fd29cb706722	175	ISSUE: Apple TV app - After we have turned on subtitles video switched playback from 2nd display to primary! We havent pressed watch here floating button and it wasnt visible!
2026-07-16T21:02:58.092Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	not_fixed	not_fixed	subtitles,video_playback,display_ui	4de0012e3d55	117	ISSUE: Apple TV app - Subtitles never show on 2nd display, always on primary one!!! THis has not been fixed at all!!!
2026-07-16T21:05:05.594Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	nothing	nothing	video_playback,display_ui	44f10a35350a	222	ISSUE: Pressing watch here floating button switches video to primary displat, however after we tap it again (it has ne label - Wat
2026-07-16T21:14:00.106Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	issue_prefix	issue_prefix	network	e148fdb2cbc5	86	ISSUE: WiFi and Ethernet communication is sluggish! This MUST BE heavily investigated!
2026-07-16T21:22:19.659Z	A_defect_report	shared	-mnt-track1-atmosphere-t1	87fc395f	main	issue_prefix	issue_prefix	display_ui,storage_usb,boot_flash	bdde31407e1b	303	ISSUE: When we connect USB flash, and this flash works normally from laptops, exfat filesystem, we get system notification: Issue with Kingston USB drive, and Tap to fix button which sends us to format it! Same flash wa sworking with all devices recently with previous System versions! Investigate this!
2026-07-17T10:25:25.723Z	A_defect_report	shared	-mnt-track3-atmosphere-t3	1431414a	feature/dolby-remap	issue_prefix	issue_prefix	video_playback,display_ui	6e14c1019b9c	127	REMINDER :: ISSUE: We have played first video clip from YouTube and it  has played on primary display instead of 2nd display!!!
2026-07-17T10:28:09.638Z	A_defect_report	shared	-mnt-track3-atmosphere-t3	1431414a	feature/dolby-remap	crash,no_play	no_play	audio,video_playback,display_ui,device_stability	efe2dcaaaf3d	264	REMINDER :: ISSUE: We have opened dialog to change output audio device, it hangs when we have tried to switch between HDMI audio o …[match]… to change output audio device, it hangs when we have tried to switch between HDMI audio output ⏎   devices! Progress bar spins endlessly! Also, playing YouTube does not play on 2nd display, but it seems that audio does !?!?!?
